Hospital Name,Location,Department,Doctors Count,Patients Count,Admission Date,Discharge Date,Medical Expenses
Fortis Care,Pune,Oncology,41,47,2023-Mar-25,2023-Mar-29,8519.11
Metro Hospital,Chennai,Pediatrics,9,134,2023-May-17,2023-May-31,48873.72
Metro Hospital,Hyderabad,General Medicine,49,42,2023-Dec-28,2024-Jan-07,31342.58
Global Medicare,Ahmedabad,Orthopedics,48,138,2023-Jan-18,2023-Jan-26,46741.91
Global Medicare,Bangalore,ENT,42,58,2023-Sep-18,2023-Sep-19,26614.52
Healing Touch,Ahmedabad,Urology,21,50,2023-Jun-22,2023-Jun-27,10978.18
Global Medicare,Delhi,ENT,21,66,2023-Dec-29,2024-Jan-13,31175.27
Sunrise Medical,Pune,Orthopedics,31,122,2023-Oct-11,2023-Nov-13,44290.86
Heritage Hospital,Bangalore,ENT,26,85,2023-Sep-25,2023-Sep-29,7502.64
Metro Hospital,Lucknow,ENT,31,75,2023-Jun-06,2023-Jun-11,7121.37
Heritage Hospital,Jaipur,Urology,39,70,2023-Jul-28,2023-Aug-04,48241
City Hospital,Ahmedabad,Neurology,14,91,2023-Jul-20,2023-Aug-03,33446.24
Fortis Care,Bangalore,ENT,14,62,2023-Dec-17,2023-Dec-30,13590.65
City Hospital,Chennai,Gynecology,28,84,2023-Aug-02,2023-Feb-22,20849.31
Green Valley Hospital,Hyderabad,Neurology,35,57,2023-Sep-08,2023-Aug-19,4388.33
Healing Touch,Pune,Pediatrics,5,41,2023-Mar-31,2023-Apr-05,23916.63
Heritage Hospital,Bangalore,Urology,29,54,2023-Oct-22,2023-Nov-05,5084.11
Apollo Health,Ahmedabad,Neurology,28,102,2023-Dec-13,2023-Dec-20,23328.9
City Hospital,Delhi,Pediatrics,41,27,2023-Feb-20,2023-Mar-06,33417.28
Healing Touch,Jaipur,Cardiology,6,110,2023-Sep-21,2023-Oct-06,36545.43
Sunrise Medical,Jaipur,Oncology,19,31,2023-Jan-07,2023-Jul-15,43687.01
Sunrise Medical,Kolkata,Cardiology,7,50,2023-Feb-08,2023-Aug-07,13902.24
Apollo Health,Mumbai,Neurology,32,56,2023-Nov-01,2023-Jan-26,22456.61
Metro Hospital,Chennai,Urology,28,154,2023-Apr-09,2023-Sep-19,23012.64
Heritage Hospital,Lucknow,Neurology,44,194,2023-Aug-18,2023-Aug-27,33963.65
Apollo Health,Hyderabad,Gynecology,40,150,2023-Jan-05,2023-May-02,9775.99
Metro Hospital,Ahmedabad,Urology,38,108,2023-Aug-04,2023-Apr-20,17211.57
Global Medicare,Ahmedabad,Urology,17,29,2023-Jan-16,2023-Jan-25,17999.48
Metro Hospital,Hyderabad,Dermatology,43,96,2023-Apr-02,2023-Feb-05,42883.43
Global Medicare,Delhi,Cardiology,21,151,2023-Jul-06,2023-Jun-09,2854.22
Sunrise Medical,Jaipur,Neurology,40,88,2023-Mar-22,2023-Mar-25,8333.48
City Hospital,Ahmedabad,Urology,25,131,2023-Jun-30,2023-Jul-02,47678.73
Fortis Care,Ahmedabad,Dermatology,9,106,2023-Nov-14,2023-Nov-21,44526.27
Healing Touch,Pune,General Medicine,48,25,2023-Oct-16,2023-Oct-28,4514.63
Metro Hospital,Ahmedabad,Gynecology,23,20,2023-Apr-17,2023-Apr-22,25418.26
Global Medicare,Pune,Orthopedics,6,48,2023-Nov-07,2023-Jul-24,46666.48
Fortis Care,Hyderabad,ENT,19,152,2023-Sep-18,2023-Sep-19,39298.3
Sunrise Medical,Delhi,General Medicine,24,43,2023-Sep-29,2023-Oct-01,45451.78
Global Medicare,Jaipur,Pediatrics,43,133,2023-Jan-27,2023-Feb-11,24556.18
Green Valley Hospital,Kolkata,Oncology,20,77,2023-Jul-03,2023-Mar-18,7146.07
Wellness Clinic,Bangalore,Gynecology,28,126,2023-Nov-29,2023-Dec-10,21065.59
Heritage Hospital,Jaipur,General Medicine,26,169,2023-Feb-18,2023-Feb-19,41677.34
Healing Touch,Bangalore,Oncology,40,193,2023-Jan-11,2023-Nov-15,47625.7
Metro Hospital,Lucknow,Neurology,42,163,2023-May-19,2023-May-26,8684.16
Healing Touch,Bangalore,Urology,14,37,2023-Sep-12,2023-Dec-15,17213.05
